"No.","Time","Source","Destination","Protocol","Length","Info"
"15684","104.022118000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15686","104.024035000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15688","104.025236000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15689","104.026491000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15691","104.028371000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15692","104.028374000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15694","104.028532000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15696","104.029676000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15697","104.029941000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15699","104.032905000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15700","104.033089000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15702","104.033658000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15703","104.034015000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15705","104.035517000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15706","104.035521000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15708","104.037401000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15709","104.037405000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15711","104.039338000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15712","104.039343000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15714","104.041261000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15715","104.041264000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
